hall_id,building_id,floor_no,room_no,occupancy,room_type,floor_plan,price,type,name,number of students,number of floors,average room size,contract type,is_aircooled,has_vending_machine,has_wifi_in_building,has_laundry,has_main_lounge,has_floor_lounge,has_tv_in_building,has_recreational_activities,has_communal_bathrooms,has_closet_space,has_desk,has_chair,has_microfridge,has_curtains,has_tv_in_room,has_wifi_in_room,has_carpeted_flooring,has_wardrobe,has_twin_bed_mattress,has_hardwood_flooring,has_accessibility_ramps,has_private_bathroom
AH,,Floor 4,422,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,423,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,424,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,425,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,426,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,427,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,428,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,429,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,430,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,431,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,432,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 4,433,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,101,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,102,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,103,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,104,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,105,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,106,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,107,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,108,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,109,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,110,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,111,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,112,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,113,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,114,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,115,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,116,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,117,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 1,118,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,201,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,202,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,203,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,204,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,205,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,206,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,207,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,208,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,209,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,210,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,211,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,212,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,213,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,214,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,215,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,216,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,217,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,218,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,219,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,220,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,221,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,222,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,223,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,224,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,225,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,226,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,227,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,228,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,229,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,230,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,231,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,232,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 2,233,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,301,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,302,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,303,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,304,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,305,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,306,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,307,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,308,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,309,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,310,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,311,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,312,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,313,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,314,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,315,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,316,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,317,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,318,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,319,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,320,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,321,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,322,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,323,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,324,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,325,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,326,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,327,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,328,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,329,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,330,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,331,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,332,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 3,333,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,401,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,402,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,403,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,404,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,405,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,406,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,407,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,408,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,409,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,410,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,411,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,412,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,413,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
BH,,Floor 4,414,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Barr Hall,220,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
